Author,From,To,Param
Aristote,-0384,-0322,Vie (certaine)
Marculphe,0490,0558,Vie (certaine)
Justinien Ier,0482,0565,Vie (certaine)
Philon d'Alexandrie,-0030,,Vie (certaine)
Cicéron,-0106,-0043,Vie (certaine)
Quintilien,0030,0100,Vie (certaine)
Pline le Jeune,0061,0114,Vie (certaine)
Tacite,0055,0120,Vie (certaine)
Scipion l'Africain,-0235,-0183,Vie (certaine)
Pausanias,0199,0100,Vie (certaine)
Pausanias,0100,0199,Naissance (imprécis)
Pausanias,0100,0199,Mort (imprécis)
Salvien,0390,0484,Vie (certaine)
Papinien,0142,0212,Vie (certaine)
Aristote,-0384,-0322,Vie (certaine)
Lampride,0399,0300,Vie (certaine)
Lampride,0300,0399,Naissance (imprécis)
Lampride,0300,0399,Mort (imprécis)
Homère,-0800,-0899,Vie (certaine)
Homère,-0899,-0800,Naissance (imprécis)
Homère,-0899,-0800,Mort (imprécis)
Virgile,-0070,-0019,Vie (certaine)
Jules César ,-0100,-0044,Vie (certaine)
 Germain (saint) ,0499,,Vie (certaine)
 Germain (saint) ,0490,0499,Naissance (imprécis)
Tertullien,0155,0222,Vie (certaine)
Artemidore d'Éphèse,0199,0100,Vie (certaine)
Artemidore d'Éphèse,0100,0199,Naissance (imprécis)
Artemidore d'Éphèse,0100,0199,Mort (imprécis)
Ulpien,0160,0225,Vie (certaine)
Dioclétien,0245,0313,Vie (certaine)
Diodore de Sicile,-0090,-0020,Vie (certaine)
Apulée,0125,0180,Vie (certaine)
Sénèque,-0004,0065,Vie (certaine)
Térence,-0190,-0159,Vie (certaine)
Horace,-0065,-0008,Vie (certaine)
Tite-Live ,-0059,0017,Vie (certaine)
Aelius Spartianus,0399,0300,Vie (certaine)
Aelius Spartianus,0300,0399,Naissance (imprécis)
Aelius Spartianus,0300,0399,Mort (imprécis)
 Gélase Ier,0499,,Vie (certaine)
 Gélase Ier,0400,0499,Naissance (imprécis)
 Grégoire Ier,0540,0604,Vie (certaine)
Thucydide,-0460,-0395,Vie (certaine)
Isidore de Séville,0560,0636,Vie (certaine)
Honorius,0384,0423,Vie (certaine)
Arcadius,0377,0408,Vie (certaine)
Flavius Vopiscus,0299,0300,Vie (certaine)
Flavius Vopiscus,0200,0299,Naissance (imprécis)
Flavius Vopiscus,0300,0399,Mort (imprécis)
Augustin (saint),0354,0430,Vie (certaine)
none,0299,0200,Vie (certaine)
none,0200,0299,Naissance (imprécis)
none,0200,0299,Mort (imprécis)
Denis le Petit,0497,0545,Vie (certaine)
Salluste,-0086,-0035,Vie (certaine)
Venance Fortunat,0530,0601,Vie (certaine)
Héliodore de Larisse,0299,0200,Vie (certaine)
Héliodore de Larisse,0200,0299,Naissance (imprécis)
Héliodore de Larisse,0200,0299,Mort (imprécis)
Maurus Honoratus Servius,0363,,Vie (certaine)
Quinte-Curce ,0099,0001,Vie (certaine)
Quinte-Curce ,0001,0099,Naissance (imprécis)
Quinte-Curce ,0001,0099,Mort (imprécis)
Martial,0040,0104,Vie (certaine)
Denis d'Halicarnasse,0069,,Vie (certaine)
Denis d'Halicarnasse,0060,0069,Naissance (imprécis)
Suétone,0069,0126,Vie (certaine)
Paul (saint),0099,0001,Vie (certaine)
Paul (saint),0001,0099,Naissance (imprécis)
Paul (saint),0001,0099,Mort (imprécis)
 Aulu-Gelle  ,0123,0180,Vie (certaine)
Plaute,-0254,-0184,Vie (certaine)
Antipater de Thessalonique,0001,0001,Vie (certaine)
Antipater de Thessalonique,-0099,0001,Naissance (imprécis)
Antipater de Thessalonique,0001,0099,Mort (imprécis)
Zénon,0430,0491,Vie (certaine)
Platon,-0427,-0348,Vie (certaine)
Solon,-0640,-0561,Vie (certaine)
Basile de Césarée (saint),0329,0379,Vie (certaine)
 Léon Ier,0399,,Vie (certaine)
 Léon Ier,0390,0399,Naissance (imprécis)
Ambroise (saint),0340,0397,Vie (certaine)
Maximien,0250,0310,Vie (certaine)
Anastase I,0431,0518,Vie (certaine)
 Grégoire III,0540,0604,Vie (certaine)
Cassiodore,0490,0580,Vie (certaine)
Julius Firmicus Maternus,0399,0400,Vie (certaine)
Julius Firmicus Maternus,0300,0399,Naissance (imprécis)
Julius Firmicus Maternus,0400,0499,Mort (imprécis)
Clément d'Alexandrie,0150,,Vie (certaine)
Xénophon,-0430,-0355,Vie (certaine)
Plutarque,0046,0120,Vie (certaine)
Hippocrate,-0460,-0377,Vie (certaine)
Hermogénien,0299,0200,Vie (certaine)
Hermogénien,0200,0299,Naissance (imprécis)
Hermogénien,0200,0299,Mort (imprécis)
Celse,0199,0100,Vie (certaine)
Celse,0100,0199,Naissance (imprécis)
Celse,0100,0199,Mort (imprécis)
Tite Live,-0059,0027,Vie (certaine)
Marcellin Ammien,0330,0395,Vie (certaine)
Hérodote,-0484,-0420,Vie (certaine)
Paulus,0199,0200,Vie (certaine)
Paulus,0100,0199,Naissance (imprécis)
Paulus,0200,0299,Mort (imprécis)
Sidoine Apollinaire,0431,0487,Vie (certaine)
Quintus Ennius,-0239,-0169,Vie (certaine)
Catulle,-0087,-0052,Vie (certaine)
Lucius Neratius Priscus ,0099,0100,Vie (certaine)
Lucius Neratius Priscus ,0001,0099,Naissance (imprécis)
Lucius Neratius Priscus ,0100,0199,Mort (imprécis)
Lycurgue,-0390,-0324,Vie (certaine)
Tiberius Catius Silius Italicus,0025,0101,Vie (certaine)
Caton,-0090,-0001,Vie (certaine)
Aristophane,-0445,-0386,Vie (certaine)
Labéon,-0050,0020,Vie (certaine)
Clément I,0099,,Vie (certaine)
Clément I,0001,0099,Naissance (imprécis)
Pompée,-0075,-0035,Vie (certaine)
Siculus Flaccus ,0199,0100,Vie (certaine)
Siculus Flaccus ,0100,0199,Naissance (imprécis)
Siculus Flaccus ,0100,0199,Mort (imprécis)
Appius Claudius Caecus,-0300,-0299,Vie (certaine)
Appius Claudius Caecus,-0399,-0300,Naissance (imprécis)
Appius Claudius Caecus,-0299,-0200,Mort (imprécis)
Alexandre Sévère,0208,0235,Vie (certaine)
Dion Cassius,0155,0235,Vie (certaine)
Innocent I,0399,,Vie (certaine)
Innocent I,0300,0399,Naissance (imprécis)
Galien,0131,0201,Vie (certaine)
Caius Velleius Paterculus,-0019,0031,Vie (certaine)
Valentinien,0419,0455,Vie (certaine)
Sextus Pomponius,0199,0100,Vie (certaine)
Sextus Pomponius,0100,0199,Naissance (imprécis)
Sextus Pomponius,0100,0199,Mort (imprécis)
